"Оператор ЦФА","Дата сделки","Ключ","Объем выпуска","Срок до погашения","Наличие досрочного погашения","Доходность"
"ООО «Атомайз»","8/17/2023","12","150000000","1831","0","8"
"АО «АЛЬФА-БАНК»","8/18/2023","12","1000000000","185","0","10.25"
"АО «АЛЬФА-БАНК»","8/18/2023","12","300000000","33","0","8"
"ООО «Атомайз»","8/21/2023","12","150000000","1829","0","12"
"АО «АЛЬФА-БАНК»","8/21/2023","12","400000000","184","0","10.25"
"ПАО «Сбербанк России»","8/22/2023","12","100000000","122","0","10.62090164"
"АО «АЛЬФА-БАНК»","8/23/2023","12","1000000000","187","0","10.25"
"ООО «Атомайз»","8/24/2023","12","150000000","1828","0","12"
"АО «АЛЬФА-БАНК»","8/24/2023","12","1000000000","186","0","9.75"
"ООО «Атомайз»","8/25/2023","12","150000000","1831","0","10.25"
"ПАО «Сбербанк России»","8/28/2023","12","10000","7","0","260.7142857"
"ООО «Атомайз»","8/31/2023","12","150000000","1827","0","10.25"
"АО «АЛЬФА-БАНК»","8/31/2023","12","600000000","174","0","9.75"
"АО «АЛЬФА-БАНК»","8/31/2023","12","1000000000","182","","9.75"
"ООО «Атомайз»","9/4/2023","12","150000000","1827","0","12"
"АО «АЛЬФА-БАНК»","9/6/2023","12","3200000000","91","","9.75"
"ООО «Атомайз»","9/8/2023","12","150000000","1827","0","10"
"АО «АЛЬФА-БАНК»","9/8/2023","12","50000000","185","0","9"
"АО «АЛЬФА-БАНК»","9/9/2023","12","2000000000","457","0","10.25"
"АО «АЛЬФА-БАНК»","9/9/2023","12","1000000000","123","0","10"
"АО «АЛЬФА-БАНК»","9/15/2023","12","50000000","276","0","8.35"
"АО «АЛЬФА-БАНК»","9/15/2023","12","1000000000","122","0","9.75"
"ООО «Атомайз»","9/18/2023","12","150000000","1829","0","12"
"ООО «Атомайз»","9/19/2023","13","150000000","1828","0","12"
"ООО «Атомайз»","9/19/2023","13","150000000","1828","0","12"
"ООО «Атомайз»","9/21/2023","13","150000000","1","0","12"
"ООО «Атомайз»","9/25/2023","13","150000000","1","0","12"
"ООО «Атомайз»","9/25/2023","13","150000000","1","0","12"
"НКО АО НРД","9/25/2023","13","100000000","1","0","13"
"АО «АЛЬФА-БАНК»","9/26/2023","13","500000000","182","0","13"
"НКО АО НРД","9/27/2023","13","100000000","58","0","13"
"ООО «Системы
распределенного реестра»","9/28/2023","13","10000000","180","0","17"
"ООО «Атомайз»","9/28/2023","13","150000000","1","0","12"
"АО «АЛЬФА-БАНК»","9/29/2023","13","300000000","367","0","18"
"АО «АЛЬФА-БАНК»","9/29/2023","13","700000000","122","0","12.5"
"АО «АЛЬФА-БАНК»","9/29/2023","13","800000000","90","0","13"
"АО «АЛЬФА-БАНК»","9/29/2023","13","500000000","122","0","13"
"ООО «Атомайз»","10/2/2023","13","150000000","1828","0","13"
"ООО «Атомайз»","10/2/2023","13","150000000","1828","0","13"
"ПАО «Сбербанк России»","10/4/2023","13","142000000","3677","0","6.948599402"
"АО «АЛЬФА-БАНК»","10/5/2023","13","1000000000","368","0","12.75"
"АО «АЛЬФА-БАНК»","10/6/2023","13","500000000","367","0","13"
"ООО «Атомайз»","10/12/2023","13","100000000","90","1","13"
"АО «АЛЬФА-БАНК»","10/12/2023","13","1000000000","123","0","12.75"
"ООО «Системы
распределенного реестра»","10/13/2023","13","10000","","0","13"
"ООО «Атомайз»","10/18/2023","13","50000000","1080","1","14"
"ООО «Атомайз»","10/19/2023","13","150000000","1828","0","13"
"ООО «Атомайз»","10/19/2023","13","150000000","1828","0","13"
"ООО «Атомайз»","10/19/2023","13","150000000","1828","0","13"
"ООО «Атомайз»","10/19/2023","13","150000000","1828","0","13"
"ООО «Атомайз»","10/20/2023","13","150000000","1827","0","13"
"АО «АЛЬФА-БАНК»","10/20/2023","13","100000000","91","0","13"
"ООО «Атомайз»","10/23/2023","13","150000000","1828","0","13"
"ООО «Атомайз»","10/23/2023","13","150000000","1828","0","13"
"АО «АЛЬФА-БАНК»","10/23/2023","13","100000000","85","0","12.5"
"АО «АЛЬФА-БАНК»","10/23/2023","13","100000000","85","0","13"
"ООО «Атомайз»","10/26/2023","13","150000000","1827","0","13"
"АО «АЛЬФА-БАНК»","10/26/2023","13","500000000","123","0","12.75"
"ООО «Атомайз»","10/27/2023","13","150000000","1830","0","13"
"ООО «Атомайз»","11/1/2023","15","150000000","1827","0","13"
"АО «АЛЬФА-БАНК»","11/1/2023","15","100000000","92","0","13"
"АО «АЛЬФА-БАНК»","11/1/2023","15","500000000","121","0","13"
"ПАО «Сбербанк России»","11/1/2023","15","10000000","2191","","15"
"ООО «Лайтхаус»","11/2/2023","15","200000000","56","1","17.35"
"ООО «Атомайз»","11/3/2023","15","150000000","1827","0","15"
"АО «АЛЬФА-БАНК»","11/3/2023","15","500000000","122","0","14.75"
"ООО «Атомайз»","11/8/2023","15","150000000","1827","0","15"
"ООО «Атомайз»","11/8/2023","15","150000000","1827","0","15"
"ООО «Атомайз»","11/8/2023","15","150000000","1827","0","15"
"ООО «Атомайз»","11/8/2023","15","150000000","1827","0","15"
"ООО «Атомайз»","11/8/2023","15","150000000","1827","0","15"
"АО «АЛЬФА-БАНК»","11/10/2023","15","1000000000","185","0","15"
"АО «АЛЬФА-БАНК»","11/10/2023","15","100000000","94","","15"
"ТОКЕОН","11/18/2023","15","3500000","363","0","15"
"ООО «Системы
распределенного реестра»","12/28/2023","15","","1064","0",""
"АО «АЛЬФА-БАНК»","6/30/2023","15","10100000","91","0","8"
"НКО АО НРД","6/12/2023","","200000000","4","0","15.26"
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
